X,Y,G
106.7917,-6.0801,66.00
106.8083,-6.0801,63.00
106.8250,-6.0801,63.80
106.8417,-6.0801,67.10
106.8583,-6.0801,69.70
106.8750,-6.0801,70.30
106.8917,-6.0801,69.00
106.9083,-6.0801,65.40
106.9250,-6.0801,59.70
106.9417,-6.0801,53.80
106.9583,-6.0801,49.20
106.9750,-6.0801,46.30
106.9917,-6.0801,45.10
107.0083,-6.0801,44.60
106.0083,-6.0967,93.00
106.0250,-6.0967,90.60
106.0417,-6.0967,87.40
106.0583,-6.0967,83.60
106.0750,-6.0967,79.70
106.0917,-6.0967,76.10
106.1083,-6.0967,73.00
106.1250,-6.0967,70.50
106.1417,-6.0967,68.70
106.1583,-6.0967,67.50
106.1750,-6.0967,66.70
106.1917,-6.0967,66.30
106.2083,-6.0967,66.10
106.2250,-6.0967,66.00
106.2417,-6.0967,66.00
106.2583,-6.0967,66.20
106.2750,-6.0967,66.50
106.2917,-6.0967,67.10
106.3083,-6.0967,67.70
106.3250,-6.0967,68.50
106.3417,-6.0967,69.30
106.3583,-6.0967,70.00
106.3750,-6.0967,70.50
106.3917,-6.0967,70.60
106.4083,-6.0967,70.30
106.4250,-6.0967,69.40
106.4417,-6.0967,68.10
106.4583,-6.0967,66.30
106.4750,-6.0967,64.00
106.4917,-6.0967,61.40
106.5083,-6.0967,58.70
106.5250,-6.0967,56.20
106.5417,-6.0967,54.00
106.5583,-6.0967,52.20
106.5750,-6.0967,51.10
106.5917,-6.0967,50.30
106.6083,-6.0967,49.90
106.6250,-6.0967,49.70
106.6417,-6.0967,49.30
106.6583,-6.0967,48.70
106.6750,-6.0967,47.90
106.6917,-6.0967,47.30
106.7083,-6.0967,48.20
106.7250,-6.0967,51.30
106.7417,-6.0967,55.90
106.7583,-6.0967,59.80
106.7750,-6.0967,61.20
106.7917,-6.0967,60.20
106.8083,-6.0967,59.00
106.8250,-6.0967,59.90
106.8417,-6.0967,62.30
106.8583,-6.0967,64.40
106.8750,-6.0967,65.00
106.8917,-6.0967,63.90
106.9083,-6.0967,60.90
106.9250,-6.0967,56.50
106.9417,-6.0967,52.20
106.9583,-6.0967,49.30
106.9750,-6.0967,47.20
106.9917,-6.0967,45.60
107.0083,-6.0967,44.00
106.0083,-6.1133,92.60
106.0250,-6.1133,90.50
106.0417,-6.1133,87.50
106.0583,-6.1133,84.00
106.0750,-6.1133,80.30
106.0917,-6.1133,76.80
106.1083,-6.1133,73.50
106.1250,-6.1133,70.70
106.1417,-6.1133,68.60
106.1583,-6.1133,67.00
106.1750,-6.1133,65.90
106.1917,-6.1133,65.30
106.2083,-6.1133,64.90
106.2250,-6.1133,64.80
106.2417,-6.1133,64.90
106.2583,-6.1133,65.20
106.2750,-6.1133,65.60
106.2917,-6.1133,66.20
106.3083,-6.1133,66.90
106.3250,-6.1133,67.60
106.3417,-6.1133,68.30
106.3583,-6.1133,68.80
106.3750,-6.1133,69.10
106.3917,-6.1133,69.10
106.4083,-6.1133,68.70
106.4250,-6.1133,67.80
106.4417,-6.1133,66.40
106.4583,-6.1133,64.80
106.4750,-6.1133,62.70
106.4917,-6.1133,60.60
106.5083,-6.1133,58.40
106.5250,-6.1133,56.30
106.5417,-6.1133,54.50
106.5583,-6.1133,53.10
106.5750,-6.1133,52.10
106.5917,-6.1133,51.40
106.6083,-6.1133,50.90
106.6250,-6.1133,50.60
106.6417,-6.1133,50.10
106.6583,-6.1133,49.50
106.6750,-6.1133,48.60
106.6917,-6.1133,47.60
106.7083,-6.1133,47.50
106.7250,-6.1133,48.80
106.7417,-6.1133,51.10
106.7583,-6.1133,53.20
106.7750,-6.1133,54.30
106.7917,-6.1133,54.40
106.8083,-6.1133,54.60
106.8250,-6.1133,55.60
106.8417,-6.1133,57.20
106.8583,-6.1133,58.40
106.8750,-6.1133,58.70
106.8917,-6.1133,57.90
106.9083,-6.1133,55.80
106.9250,-6.1133,53.00
106.9417,-6.1133,50.20
106.9583,-6.1133,48.10
106.9750,-6.1133,46.30
106.9917,-6.1133,44.40
107.0083,-6.1133,42.30
106.0083,-6.1299,91.20
106.0250,-6.1299,89.60
106.0417,-6.1299,87.20
106.0583,-6.1299,84.20
106.0750,-6.1299,80.80
106.0917,-6.1299,77.40
106.1083,-6.1299,74.00
106.1250,-6.1299,71.00
106.1417,-6.1299,68.50
106.1583,-6.1299,66.50
106.1750,-6.1299,65.00
106.1917,-6.1299,64.10
106.2083,-6.1299,63.60
106.2250,-6.1299,63.40
106.2417,-6.1299,63.60
106.2583,-6.1299,64.00
106.2750,-6.1299,64.60
106.2917,-6.1299,65.20
106.3083,-6.1299,65.90
106.3250,-6.1299,66.50
106.3417,-6.1299,67.10
106.3583,-6.1299,67.50
106.3750,-6.1299,67.60
106.3917,-6.1299,67.50
106.4083,-6.1299,67.10
106.4250,-6.1299,66.30
106.4417,-6.1299,65.30
106.4583,-6.1299,63.90
106.4750,-6.1299,62.30
106.4917,-6.1299,60.60
106.5083,-6.1299,58.80
106.5250,-6.1299,57.10
106.5417,-6.1299,55.60
106.5583,-6.1299,54.40
106.5750,-6.1299,53.40
106.5917,-6.1299,52.60
106.6083,-6.1299,51.90
106.6250,-6.1299,51.40
106.6417,-6.1299,50.80
106.6583,-6.1299,50.10
106.6750,-6.1299,49.30
106.6917,-6.1299,48.40
106.7083,-6.1299,47.80
106.7250,-6.1299,47.90
106.7417,-6.1299,48.50
106.7583,-6.1299,49.40
106.7750,-6.1299,50.20
106.7917,-6.1299,50.90
106.8083,-6.1299,51.80
106.8250,-6.1299,52.70
106.8417,-6.1299,53.60
106.8583,-6.1299,54.20
106.8750,-6.1299,54.20
106.8917,-6.1299,53.50
106.9083,-6.1299,52.20
106.9250,-6.1299,50.40
106.9417,-6.1299,48.60
106.9583,-6.1299,46.70
106.9750,-6.1299,44.80
106.9917,-6.1299,42.80
107.0083,-6.1299,40.60
106.0083,-6.1464,90.00
106.0250,-6.1464,89.00
106.0417,-6.1464,87.30
106.0583,-6.1464,84.80
106.0750,-6.1464,81.70
106.0917,-6.1464,78.40
